year,violence_conflict_death_rate_world
1858,13.598847
1859,16.050732
1860,13.708726
1861,26.414103
1862,26.041533
1863,29.492823
1864,40.204105
1865,38.731987
1866,22.796022
1867,16.540813
1868,16.698866
1869,16.04408
1870,24.569231
1871,14.642014
1872,4.2987127
1873,7.7810774
1874,6.5334516
1875,10.134749
1876,10.231524
1877,18.961206
1878,18.649813
1879,9.970459
1880,1.9910412
1881,2.0338488
1882,1.1103181
1883,1.1709067
1884,0.92864335
1885,1.2753781
1886,0.29405686
1887,0.18308623
1888,0.30618566
1889,0.3184102
1890,0.2565602
1891,0.94517773
1892,0.9247009
1893,1.6658255
1894,2.4990375
1895,3.833443
1896,3.6505404
1897,3.390127
1898,15.109041
1899,4.743979
1900,5.49259
1901,4.8504024
1902,4.3095574
1903,2.9942303
1904,6.273423
1905,11.297095
1906,6.310834
1907,6.3456135
1908,0.26653242
1909,11.4952
1910,12.3721
1911,12.755455
1912,15.039098
1913,17.220428
1914,228.51451
1915,242.91853
1916,241.84373
1917,247.88582
1918,246.54245
1919,15.660551
1920,15.524008
1921,10.251481
1922,2.6081836
1923,1.0829008
1924,0.5784399
1925,0.6429432
1926,1.7686036
1927,7.9696684
1928,17.543188
1929,8.598234
1930,10.350201
1931,10.233094
1932,12.582739
1933,11.5267315
1934,10.601823
1935,13.90406
1936,32.45351
1937,238.84093
1938,232.53253
1939,235.8373
1940,210.7183
1941,334.3078
1942,331.48825
1943,208.48178
1944,207.3152
1945,231.37625
1946,50.901047
1947,66.01108
1948,58.515358
1949,30.512388
1950,62.965595
1951,59.22799
1952,21.918364
1953,21.612793
1954,9.827416
1955,4.7451777
1956,8.24494
1957,6.969149
1958,6.3565545
1959,9.702749
1960,6.9578586
1961,8.112123
1962,8.575148
1963,4.9370117
1964,9.565556
1965,20.878351
1966,21.987503
1967,18.429508
1968,17.700943
1969,18.143759
1970,17.441486
1971,23.53723
1972,12.363658
1973,8.701228
1974,7.9538894
1975,18.176666
1976,12.191583
1977,13.408409
1978,15.147387
1979,16.987057
1980,6.8458924
1981,7.1792207
1982,7.4172773
1983,8.030037
1984,8.014764
1985,7.8374147
1986,7.943212
1987,7.2559633
1988,8.543372
1989,5.6585517
1990,5.987236
1991,5.610714
1992,5.8159337
1993,3.7989695
1994,12.251075
1995,3.238828
1996,2.0496657
1997,2.1906106
1998,2.2209296
1999,2.3175938
2000,1.1553938
2001,0.604138752
2002,0.655112577
2003,0.63081864
2004,0.5577088699999999
2005,0.31129914700000005
2006,0.418463698
2007,0.424526725
2008,0.5794347419
2009,0.74578429
2010,0.48854998
2011,0.59127948476
2012,1.2630085407
2013,1.5785580611
2014,2.04987374664
2015,1.7608596517
2016,1.5366498755
2017,1.476085213
2018,1.144569422
2019,0.9916639070000001
2020,1.306608585
2021,2.9469266445
2022,3.96173639
2023,2.09938159
2024,2.29781845
2025,2.9795194499999997
